x,y
0.0426,0.0371
0.043,0.0361
0.0434,0.0351
0.0441,0.0342
0.0449,0.0335
0.0459,0.0331
0.0469,0.033
0.0479,0.033
0.0489,0.0332
0.0499,0.0337
0.0507,0.0344
0.0512,0.0353
0.0514,0.0363
0.0514,0.0373
0.0511,0.0383
0.0506,0.0392
0.0499,0.04
0.0491,0.0407
0.0482,0.0412
0.0473,0.0417
0.0464,0.0422
0.0455,0.0427
0.0446,0.0433
0.0438,0.044
0.043,0.0448
0.0423,0.0457
0.042,0.0467
0.0425,0.0476
0.0436,0.0476
0.0446,0.0476
0.0456,0.0476
0.0466,0.0476
0.0476,0.0476
0.0487,0.0476
0.0497,0.0476
0.0507,0.0476
